Sum of Age,Age-Demograph,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,Education_Description,EducationField,Sum of EmployeeCount,Sum of EmployeeNumber,Sum of EnvironmentSatisfaction,Name,Last_name,First_name,Gender,Environment_Satisfaction_Description,Job_Involvement_description,Sum of HourlyRate,Job_Level_Description,Job_Satisfaction__description,Sum of JobInvolvement,Sum of JobLevel,JobRole,MaritalStatus,Sum of JobSatisfaction,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,performance_rate_description,Sum of PerformanceRating,promotion_desciption,relation_satisfaction_description,Sum of RelationshipSatisfaction,Sum of StandardHours,Stock_Option_Level_description,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Work_life_balance_description,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
46,46-55,No,Travel_Rarely,705,Sales,2,4,Master,Marketing,1,38,2,Jeanice Brenin,Brenin,Jeanice,Female,Medium,High,83,Executive,Low,3,5,Manager,Single,1,18947,22822,3,Y,No,12,excellent,3,Was promoted,Very High,4,80,None,0,22,2,Good,2,2,2,2,1
33,25-35,No,Travel_Rarely,924,Research & Development,2,3,Bachelor,Medical,1,39,3,Dajan Dinh,Dinh,Dajan,Male,High,High,78,Entry Level,Very High,3,1,Laboratory Technician,Single,4,2496,6670,4,Y,No,11,excellent,3,Not promoted,Very High,4,80,None,0,7,3,Better,3,1,1,0,0
44,36-45,No,Travel_Rarely,1459,Research & Development,10,4,Master,Other,1,40,4,Yosgarth Kevious,Kevious,Yosgarth,Male,Very High,High,41,Junior,Very High,3,2,Healthcare Representative,Married,4,6465,19121,2,Y,Yes,13,excellent,3,Was promoted,Very High,4,80,None,0,9,5,Best,4,4,2,1,3
30,25-35,No,Travel_Rarely,125,Research & Development,9,2,College,Medical,1,41,4,Erison Kaleem,Kaleem,Erison,Male,Very High,Midium,83,Entry Level,High,2,1,Laboratory Technician,Single,3,2206,16117,1,Y,No,13,excellent,3,Was promoted,Low,1,80,None,0,10,5,Better,3,10,0,1,8
39,36-45,Yes,Travel_Rarely,895,Sales,5,3,Bachelor,Technical Degree,1,42,4,Dreysen Jemmerio,Jemmerio,Dreysen,Male,Very High,High,56,Junior,Very High,3,2,Sales Representative,Married,4,2086,3335,3,Y,No,14,excellent,3,Not promoted,High,3,80,Silver,1,19,6,Best,4,1,0,0,0
24,Under-20,Yes,Travel_Rarely,813,Research & Development,1,3,Bachelor,Medical,1,45,2,Davieon Nehamiah,Nehamiah,Davieon,Male,Medium,High,61,Entry Level,Very High,3,1,Research Scientist,Married,4,2293,3020,2,Y,Yes,16,excellent,3,Was promoted,Low,1,80,Silver,1,6,2,Good,2,2,0,2,0
43,36-45,No,Travel_Rarely,1273,Research & Development,2,2,College,Medical,1,46,4,Katine Legendary,Legendary,Katine,Female,Very High,Very High,72,Entry Level,High,4,1,Research Scientist,Divorced,3,2645,21923,1,Y,No,12,excellent,3,Was promoted,Very High,4,80,Gold,2,6,3,Good,2,5,3,1,4
50,46-55,Yes,Travel_Rarely,869,Sales,3,2,College,Marketing,1,47,1,Ranford Nivin,Nivin,Ranford,Male,Low,Midium,86,Entry Level,High,2,1,Sales Representative,Married,3,2683,3810,1,Y,Yes,14,excellent,3,Not promoted,High,3,80,None,0,3,2,Better,3,3,2,0,2
35,25-35,No,Travel_Rarely,890,Sales,2,3,Bachelor,Marketing,1,49,4,Detisha Messiah,Messiah,Detisha,Female,Very High,High,97,Entry Level,Very High,3,1,Sales Representative,Married,4,2014,9687,1,Y,No,13,excellent,3,Was promoted,Low,1,80,None,0,2,3,Better,3,2,2,2,2
36,36-45,No,Travel_Rarely,852,Research & Development,5,4,Master,Life Sciences,1,51,2,Breionna Jeremi,Jeremi,Breionna,Female,Medium,Midium,82,Entry Level,Low,2,1,Research Scientist,Married,1,3419,13072,9,Y,Yes,14,excellent,3,Not promoted,Very High,4,80,Silver,1,6,3,Best,4,1,1,0,0
33,25-35,No,Travel_Frequently,1141,Sales,1,3,Bachelor,Life Sciences,1,52,3,Esterlene Tyndale,Tyndale,Esterlene,Female,High,Very High,42,Junior,Low,4,2,Sales Executive,Married,1,5376,3193,2,Y,No,19,excellent,3,Was promoted,Low,1,80,Gold,2,10,3,Better,3,5,3,1,3
35,25-35,No,Travel_Rarely,464,Research & Development,4,2,College,Other,1,53,3,Brock Dinh,Dinh,Brock,Male,High,High,75,Entry Level,Very High,3,1,Laboratory Technician,Divorced,4,1951,10910,1,Y,No,12,excellent,3,Not promoted,High,3,80,Silver,1,1,3,Better,3,1,0,0,0
27,25-35,No,Travel_Rarely,1240,Research & Development,2,4,Master,Life Sciences,1,54,4,Cherlyn Johnlucas,Johnlucas,Cherlyn,Female,Very High,High,33,Entry Level,Low,3,1,Laboratory Technician,Divorced,1,2341,19715,1,Y,No,13,excellent,3,Not promoted,Very High,4,80,Silver,1,1,6,Better,3,1,0,0,0
26,25-35,Yes,Travel_Rarely,1357,Research & Development,25,3,Bachelor,Life Sciences,1,55,1,Gould Tayvan,Tayvan,Gould,Male,Low,Low,48,Entry Level,High,1,1,Laboratory Technician,Single,3,2293,10558,1,Y,No,12,excellent,3,Not promoted,High,3,80,None,0,1,2,Good,2,1,0,0,1
27,25-35,No,Travel_Frequently,994,Sales,8,3,Bachelor,Life Sciences,1,56,4,Jameel Darrious,Darrious,Jameel,Male,Very High,High,37,Senior,High,3,3,Sales Executive,Single,3,8726,2975,1,Y,No,15,excellent,3,Was promoted,Very High,4,80,None,0,9,0,Better,3,9,8,1,7
30,25-35,No,Travel_Frequently,721,Research & Development,1,2,College,Medical,1,57,3,Tarralyn Marcellus,Marcellus,Tarralyn,Female,High,High,58,Junior,Very High,3,2,Laboratory Technician,Single,4,4011,10781,1,Y,No,23,outstanding,4,Was promoted,Very High,4,80,None,0,12,2,Better,3,12,8,3,7
41,36-45,Yes,Travel_Rarely,1360,Research & Development,12,3,Bachelor,Technical Degree,1,58,2,Shakenia Abdulkhaliq,Abdulkhaliq,Shakenia,Female,Medium,High,49,Executive,High,3,5,Research Director,Married,3,19545,16280,1,Y,No,12,excellent,3,Was promoted,Very High,4,80,None,0,23,0,Better,3,22,15,15,8
34,25-35,No,Non-Travel,1065,Sales,23,4,Master,Marketing,1,60,2,Lateek Webster,Webster,Lateek,Male,Medium,High,72,Junior,High,3,2,Sales Executive,Single,3,4568,10034,0,Y,No,20,outstanding,4,Was promoted,High,3,80,None,0,10,2,Better,3,9,5,8,7
37,36-45,No,Travel_Rarely,408,Research & Development,19,2,College,Life Sciences,1,61,2,Leithan Elyes,Elyes,Leithan,Male,Medium,High,73,Entry Level,Medium,3,1,Research Scientist,Married,2,3022,10227,4,Y,No,21,outstanding,4,Not promoted,Low,1,80,None,0,8,1,Better,3,1,0,0,0
46,46-55,No,Travel_Frequently,1211,Sales,5,4,Master,Marketing,1,62,1,Willilam Davante,Davante,Willilam,Male,Low,High,98,Junior,Very High,3,2,Sales Executive,Single,4,5772,20445,4,Y,Yes,21,outstanding,4,Not promoted,High,3,80,None,0,14,4,Better,3,9,6,0,8
35,25-35,No,Travel_Rarely,1229,Research & Development,8,1,School,Life Sciences,1,63,4,Zayion Thilo,Thilo,Zayion,Male,Very High,Very High,36,Entry Level,Very High,4,1,Laboratory Technician,Married,4,2269,4892,1,Y,No,19,excellent,3,Not promoted,Very High,4,80,None,0,1,2,Better,3,1,0,0,1
48,46-55,Yes,Travel_Rarely,626,Research & Development,1,2,College,Life Sciences,1,64,1,Liborio Dhanesh,Dhanesh,Liborio,Male,Low,Midium,98,Senior,High,2,3,Laboratory Technician,Single,3,5381,19294,9,Y,Yes,13,excellent,3,Not promoted,Very High,4,80,None,0,23,2,Better,3,1,0,0,0
28,25-35,Yes,Travel_Rarely,1434,Research & Development,5,4,Master,Technical Degree,1,65,3,Amareion Dewuan,Dewuan,Amareion,Male,High,High,50,Entry Level,High,3,1,Laboratory Technician,Single,3,3441,11179,1,Y,Yes,13,excellent,3,Was promoted,High,3,80,None,0,2,3,Good,2,2,2,2,2
44,36-45,No,Travel_Rarely,1488,Sales,1,5,Doctor,Marketing,1,68,2,Cherrill Luddy,Luddy,Cherrill,Female,Medium,High,75,Junior,Low,3,2,Sales Executive,Divorced,1,5454,4009,5,Y,Yes,21,outstanding,4,Was promoted,High,3,80,Silver,1,9,2,Good,2,4,3,1,3
35,25-35,No,Non-Travel,1097,Research & Development,11,2,College,Medical,1,70,3,Dadrian Bijan,Bijan,Dadrian,Male,High,Midium,79,Senior,Low,2,3,Healthcare Representative,Married,1,9884,8302,2,Y,Yes,13,excellent,3,Was promoted,High,3,80,Silver,1,10,3,Better,3,4,0,2,3
26,25-35,No,Travel_Rarely,1443,Sales,23,3,Bachelor,Marketing,1,72,3,Brekka Ramen,Ramen,Brekka,Female,High,Midium,47,Junior,Very High,2,2,Sales Executive,Married,4,4157,21436,7,Y,Yes,19,excellent,3,Not promoted,High,3,80,Silver,1,5,2,Good,2,2,2,0,0
33,25-35,No,Travel_Frequently,515,Research & Development,1,2,College,Life Sciences,1,73,1,Santasia Zederick,Zederick,Santasia,Female,Low,High,98,Senior,Very High,3,3,Research Director,Single,4,13458,15146,1,Y,Yes,12,excellent,3,Was promoted,High,3,80,None,0,15,1,Better,3,15,14,8,12
35,25-35,No,Travel_Frequently,853,Sales,18,5,Doctor,Life Sciences,1,74,2,Zakori Kaceson,Kaceson,Zakori,Male,Medium,High,71,Senior,Low,3,3,Sales Executive,Married,1,9069,11031,1,Y,No,22,outstanding,4,Was promoted,Very High,4,80,Silver,1,9,3,Good,2,9,8,1,8
35,25-35,No,Travel_Rarely,1142,Research & Development,23,4,Master,Medical,1,75,3,Shama Neri,Neri,Shama,Female,High,High,30,Entry Level,Low,3,1,Laboratory Technician,Married,1,4014,16002,3,Y,Yes,15,excellent,3,Was promoted,High,3,80,Silver,1,4,3,Better,3,2,2,2,2
31,25-35,No,Travel_Rarely,655,Research & Development,7,4,Master,Life Sciences,1,76,4,Dakobe Rafal,Rafal,Dakobe,Male,Very High,High,48,Junior,Very High,3,2,Laboratory Technician,Divorced,4,5915,9528,3,Y,No,22,outstanding,4,Was promoted,Very High,4,80,Silver,1,10,3,Good,2,7,7,1,7
37,36-45,No,Travel_Rarely,1115,Research & Development,1,4,Master,Life Sciences,1,77,1,Holdon Breh,Breh,Holdon,Male,Low,Midium,51,Junior,High,2,2,Manufacturing Director,Divorced,3,5993,2689,1,Y,No,18,excellent,3,Not promoted,High,3,80,Silver,1,7,2,Best,4,7,5,0,7
32,25-35,No,Travel_Rarely,427,Research & Development,1,3,Bachelor,Medical,1,78,1,Antohny Yonas,Yonas,Antohny,Male,Low,High,33,Junior,Very High,3,2,Manufacturing Director,Married,4,6162,10877,1,Y,Yes,22,outstanding,4,Was promoted,Medium,2,80,Silver,1,9,3,Better,3,9,8,7,8
38,36-45,No,Travel_Frequently,653,Research & Development,29,5,Doctor,Life Sciences,1,79,4,Taumi Soufiane,Soufiane,Taumi,Female,Very High,High,50,Junior,Very High,3,2,Laboratory Technician,Single,4,2406,5456,1,Y,No,11,excellent,3,Was promoted,Very High,4,80,None,0,10,2,Better,3,10,3,9,9
50,46-55,No,Travel_Rarely,989,Research & Development,7,2,College,Medical,1,80,2,Patrizia Guyon,Guyon,Patrizia,Female,Medium,Midium,43,Executive,High,2,5,Research Director,Divorced,3,18740,16701,5,Y,Yes,12,excellent,3,Was promoted,Very High,4,80,Silver,1,29,2,Good,2,27,3,13,8
59,Over-55,No,Travel_Rarely,1435,Sales,25,3,Bachelor,Life Sciences,1,81,1,Lenorah Khristan,Khristan,Lenorah,Female,Low,High,99,Senior,Low,3,3,Sales Executive,Single,1,7637,2354,7,Y,No,11,excellent,3,Was promoted,Very High,4,80,None,0,28,3,Good,2,21,16,7,9
36,36-45,No,Travel_Rarely,1223,Research & Development,8,3,Bachelor,Technical Degree,1,83,3,Thao Jaxom,Jaxom,Thao,Female,High,High,59,Senior,High,3,3,Healthcare Representative,Divorced,3,10096,8202,1,Y,No,13,excellent,3,Was promoted,Medium,2,80,Platinum,3,17,2,Better,3,17,14,12,8
55,46-55,No,Travel_Rarely,836,Research & Development,8,3,Bachelor,Medical,1,84,4,Jazella Darnell,Darnell,Jazella,Female,Very High,High,33,Team Lead,High,3,4,Manager,Divorced,3,14756,19730,2,Y,Yes,14,excellent,3,Not promoted,High,3,80,Platinum,3,21,2,Better,3,5,0,0,2
36,36-45,No,Travel_Frequently,1195,Research & Development,11,3,Bachelor,Life Sciences,1,85,2,Shakai Chiem,Chiem,Shakai,Male,Medium,Midium,95,Junior,Medium,2,2,Manufacturing Director,Single,2,6499,22656,1,Y,No,13,excellent,3,Not promoted,High,3,80,None,0,6,3,Better,3,6,5,0,3
45,36-45,No,Travel_Rarely,1339,Research & Development,7,3,Bachelor,Life Sciences,1,86,2,Seyed Macauly,Macauly,Seyed,Male,Medium,High,59,Senior,Low,3,3,Research Scientist,Divorced,1,9724,18787,2,Y,No,17,excellent,3,Not promoted,High,3,80,Silver,1,25,2,Better,3,1,0,0,0
35,25-35,No,Travel_Frequently,664,Research & Development,1,3,Bachelor,Medical,1,88,2,Anthonyjames Moxon,Moxon,Anthonyjames,Male,Medium,High,79,Entry Level,Low,3,1,Research Scientist,Married,1,2194,5868,4,Y,No,13,excellent,3,Was promoted,Very High,4,80,Silver,1,5,2,Good,2,3,2,1,2
36,36-45,Yes,Travel_Rarely,318,Research & Development,9,3,Bachelor,Medical,1,90,4,Carold Accie,Accie,Carold,Male,Very High,Midium,79,Entry Level,High,2,1,Research Scientist,Married,3,3388,21777,0,Y,Yes,17,excellent,3,Not promoted,Low,1,80,Silver,1,2,0,Good,2,1,0,0,0
59,Over-55,No,Travel_Frequently,1225,Sales,1,1,School,Life Sciences,1,91,1,Evangela Seananthony,Seananthony,Evangela,Female,Low,Midium,57,Junior,High,2,2,Sales Executive,Single,3,5473,24668,7,Y,No,11,excellent,3,Was promoted,Very High,4,80,None,0,20,2,Good,2,4,3,1,3
29,25-35,No,Travel_Rarely,1328,Research & Development,2,3,Bachelor,Life Sciences,1,94,3,Jeconiah Deklyn,Deklyn,Jeconiah,Male,High,High,76,Entry Level,Medium,3,1,Research Scientist,Married,2,2703,4956,0,Y,No,23,outstanding,4,Not promoted,Very High,4,80,Silver,1,6,3,Better,3,5,4,0,4
31,25-35,No,Travel_Rarely,1082,Research & Development,1,4,Master,Medical,1,95,3,Markeis Aedon,Aedon,Markeis,Male,High,High,87,Entry Level,Medium,3,1,Research Scientist,Single,2,2501,18775,1,Y,No,17,excellent,3,Was promoted,Medium,2,80,None,0,1,4,Better,3,1,1,1,0
32,25-35,No,Travel_Rarely,548,Research & Development,1,3,Bachelor,Life Sciences,1,96,2,Zayid Robeto,Robeto,Zayid,Male,Medium,High,66,Junior,Medium,3,2,Research Scientist,Married,2,6220,7346,1,Y,No,17,excellent,3,Not promoted,Medium,2,80,Gold,2,10,3,Better,3,10,4,0,9
36,36-45,No,Travel_Rarely,132,Research & Development,6,3,Bachelor,Life Sciences,1,97,2,Nahomie Landry,Landry,Nahomie,Female,Medium,Very High,55,Entry Level,Very High,4,1,Laboratory Technician,Married,4,3038,22002,3,Y,No,12,excellent,3,Not promoted,Medium,2,80,None,0,5,3,Better,3,1,0,0,0
31,25-35,No,Travel_Rarely,746,Research & Development,8,4,Master,Life Sciences,1,98,3,Miara Enderson,Enderson,Miara,Female,High,High,61,Junior,Very High,3,2,Manufacturing Director,Single,4,4424,20682,1,Y,No,23,outstanding,4,Was promoted,Very High,4,80,None,0,11,2,Better,3,11,7,1,8
35,25-35,No,Travel_Rarely,776,Sales,1,4,Master,Marketing,1,100,3,Saheed Alessio,Alessio,Saheed,Male,High,Midium,32,Junior,Low,2,2,Sales Executive,Single,1,4312,23016,0,Y,No,14,excellent,3,Was promoted,Medium,2,80,None,0,16,2,Better,3,15,13,2,8
45,36-45,No,Travel_Rarely,193,Research & Development,6,4,Master,Other,1,101,4,Navario Demarkas,Demarkas,Navario,Male,Very High,High,52,Senior,Low,3,3,Research Director,Married,1,13245,15067,4,Y,Yes,14,excellent,3,Not promoted,Medium,2,80,None,0,17,3,Best,4,0,0,0,0
37,36-45,No,Travel_Rarely,397,Research & Development,7,4,Master,Medical,1,102,1,Jaydrien Aun,Aun,Jaydrien,Male,Low,High,30,Senior,High,3,3,Research Director,Single,3,13664,25258,4,Y,No,13,excellent,3,Not promoted,Low,1,80,None,0,16,3,Best,4,5,2,0,2
46,46-55,No,Travel_Rarely,945,Human Resources,5,2,College,Medical,1,103,2,Sylvestre Markeece,Markeece,Sylvestre,Male,Medium,High,80,Junior,Medium,3,2,Human Resources,Divorced,2,5021,10425,8,Y,Yes,22,outstanding,4,Not promoted,Very High,4,80,Silver,1,16,2,Better,3,4,2,0,2
30,25-35,No,Travel_Rarely,852,Research & Development,1,1,School,Life Sciences,1,104,4,Micale Phillip,Phillip,Micale,Male,Very High,Midium,55,Junior,Very High,2,2,Laboratory Technician,Married,4,5126,15998,1,Y,Yes,12,excellent,3,Was promoted,High,3,80,Gold,2,10,1,Good,2,10,8,3,0
35,25-35,No,Travel_Rarely,1214,Research & Development,1,3,Bachelor,Medical,1,105,2,Douglass Muiz,Muiz,Douglass,Male,Medium,Midium,30,Entry Level,High,2,1,Research Scientist,Single,3,2859,26278,1,Y,No,18,excellent,3,Not promoted,Low,1,80,None,0,6,3,Better,3,6,4,0,4
